date,station,station_code,train_id,train_name,train_type,source_station,source_code,destination_station,destination_code,scheduled_arrival,scheduled_departure,halt_minutes,direction,runs_today,railway_zone,platform,intermediate_stops,track_number,route_distance_km,journey_duration_hrs,avg_speed_kmh
2026-03-16,Chennai Central,MAS,12604,CHENNAI SF EXP,Superfast Express,Chalakudi,CHZ,Chennai Central,MAS,05:40,--,0,Arrival,Y,Southern Railway (SR),MAS,"Tiruchirapalli, Villupuram, Katpadi, Perambur, Basin Bridge",1,466,8.5,54.8
2026-03-16,Chennai Central,MAS,20607,MYS VANDEBHARAT,Premium Express,Chennai Central,MAS,Mysuru,MYS,--,05:50,0,Departure,Y,Southern Railway (SR),MAS,"Katpadi, Salem, Erode, Tirupur, Coimbatore",2,497,7.5,66.3
2026-03-16,Chennai Central,MAS,12611,NZM GARIB RATH,Garib Rath,Chennai Central,MAS,Hazrat Nizamuddin,NZM,--,06:00,0,Departure,X,Southern Railway (SR),MAS,"Katpadi, Renigunta, Guntakal, Secunderabad, Nagpur",3,2184,40.0,54.6
2026-03-16,Chennai Central,MAS,12007,SHATABDI EXP,Premium Express,Chennai Central,MAS,Mysuru,MYS,--,06:00,0,Departure,Y,Southern Railway (SR),MAS,"Katpadi, Jolarpettai, Salem, Erode, Mysuru",2,497,7.0,71.0
2026-03-16,Chennai Central,MAS,12433,RAJDHANI EXP,Rajdhani Express,Chennai Central,MAS,Hazrat Nizamuddin,NZM,--,06:05,0,Departure,X,Southern Railway (SR),MAS,"Gudur, Nellore, Ongole, Vijayawada, Secunderabad",2,2184,34.0,64.2
2026-03-16,Chennai Central,MAS,12602,CHENNAI MAIL,Mail Express,Mangaluru,MAQ,Chennai Central,MAS,06:10,--,0,Arrival,Y,Southern Railway (SR),MAS,"Kasaragod, Kozhikode, Shoranur, Ernakulam, Coimbatore",1,740,12.5,59.2
2026-03-16,Chennai Central,MAS,12675,KOVAI EXPRESS,Express,Chennai Central,MAS,Coimbatore,CBE,--,06:10,0,Departure,Y,Southern Railway (SR),MAS,"Katpadi, Jolarpettai, Salem, Erode, Tirupur",3,497,6.5,76.5
2026-03-16,Chennai Central,MAS,12672,NILAGIRI EXP,Express,Mettupalayam,MTP,Chennai Central,MAS,06:25,--,0,Arrival,Y,Southern Railway (SR),MAS,"Mettupalayam, Coimbatore, Tirupur, Erode, Salem",1,532,9.5,56.0
2026-03-16,Chennai Central,MAS,16057,SAPTHAGIRI EXP,Express,Chennai Central,MAS,Tirupati,TPTY,--,06:30,0,Departure,Y,Southern Railway (SR),MAS,"Perambur, Katpadi, Renigunta, Tirupati, --",3,138,3.0,46.0
2026-03-16,Chennai Central,MAS,12269,DURONTO EXPRESS,Duronto Express,Chennai Central,MAS,Hazrat Nizamuddin,NZM,--,06:35,0,Departure,Y,Southern Railway (SR),MAS,"Nellore, Ongole, Vijayawada, Secunderabad, Nagpur",2,2184,33.0,66.2
2026-03-16,Chennai Central,MAS,12622,TAMIL NADU EXP,Express,New Delhi,NDLS,Chennai Central,MAS,06:35,--,0,Arrival,Y,Southern Railway (SR),MAS,"Vijayawada, Nellore, Gudur, Renigunta, Katpadi",1,2188,34.0,64.4
2026-03-16,Chennai Central,MAS,16022,KAVERI EXPRESS,Express,Arakonam,AP,Chennai Central,MAS,06:45,--,0,Arrival,Y,Southern Railway (SR),MAS,"Katpadi, Jolarpettai, Salem, Erode, Mysuru",1,320,6.0,53.3
2026-03-16,Chennai Central,MAS,12842,COROMANDEL EXP,Superfast Express,Chennai Central,MAS,Howrah,HWH,--,07:00,0,Departure,Y,Southern Railway (SR),MAS,"Perambur, Nellore, Vijayawada, Bhubaneswar, Kharagpur",2,1662,28.0,59.4
2026-03-16,Chennai Central,MAS,12674,CHERAN EXPRESS,Express,Coimbatore,CBE,Chennai Central,MAS,07:00,--,0,Arrival,Y,Southern Railway (SR),MAS,"Tirupur, Erode, Salem, Jolarpettai, Katpadi",1,497,6.5,76.5
2026-03-16,Chennai Central,MAS,16032,ANDAMAN EXPRESS,Express,Shri Mata Vaishno Devi Katra,SVDK,Chennai Central,MAS,07:00,--,0,Arrival,Y,Southern Railway (SR),MAS,"Nagpur, Secunderabad, Guntakal, Renigunta, Katpadi",1,3726,67.0,55.6
2026-03-16,Chennai Central,MAS,12243,SHATABDI EXP,Premium Express,Chennai Central,MAS,Coimbatore,CBE,--,07:15,0,Departure,Y,Southern Railway (SR),MAS,"Katpadi, Jolarpettai, Salem, Erode, Tirupur",2,497,6.5,76.5
2026-03-16,Chennai Central,MAS,22625,SBC DOUBLE DECK,Double Decker,Chennai Central,MAS,Bangalore City,SBC,--,07:25,0,Departure,Y,Southern Railway (SR),MAS,"Perambur, Katpadi, Jolarpettai, Bangalore Cantt, Bangalore City",3,362,5.5,65.8
2026-03-16,Chennai Central,MAS,12077,JAN SHATABDI,Premium Express,Chennai Central,MAS,Vijayawada,BZA,--,07:25,0,Departure,Y,Southern Railway (SR),MAS,"Perambur, Gudur, Nellore, Ongole, Vijayawada",2,434,7.5,57.9
2026-03-16,Chennai Central,MAS,12639,BRINDAVAN EXP,Express,Chennai Central,MAS,Bangalore City,SBC,--,07:40,0,Departure,Y,Southern Railway (SR),MAS,"Perambur, Katpadi, Jolarpettai, Bangalore Cantt, Bangalore City",3,362,5.5,65.8
2026-03-16,Chennai Central,MAS,12624,CHENNAI MAIL,Mail Express,Thiruvananthapuram,TVC,Chennai Central,MAS,07:45,--,0,Arrival,Y,Southern Railway (SR),MAS,"Ernakulam, Shoranur, Coimbatore, Salem, Katpadi",1,920,15.5,59.4
2026-03-16,Chennai Central,MAS,12686,CHENNAI EXP,Express,Mangaluru,MAQ,Chennai Central,MAS,08:05,--,0,Arrival,Y,Southern Railway (SR),MAS,"Mangaluru, Kozhikode, Shoranur, Ernakulam, Coimbatore",1,740,12.5,59.2
2026-03-16,Chennai Central,MAS,22808,MAS SRC AC EXP,Express,Chennai Central,MAS,Santragachi,SRC,--,08:15,0,Departure,X,Southern Railway (SR),MAS,"Perambur, Vijayawada, Bhubaneswar, Kharagpur, Santragachi",2,1654,26.5,62.4
